Movement,Model,Anatomic_Distances,Rep,Left_Peak_frame,Left_Peak_time_s,Left_Peak_deg,Left_Valley_frame,Left_Valley_time_s,Left_Valley_deg,Left_ROM_deg,Right_Peak_frame,Right_Peak_time_s,Right_Peak_deg,Right_Valley_frame,Right_Valley_time_s,Right_Valley_deg,Right_ROM_deg
Shoulder Abd/Add,NOT_C7,IJ_C7,6,3628,36.28,172.86,3893,38.93,-15.07,187.93,3398.0,33.98,167.66,3682.0,36.82,-10.77,178.43
Shoulder Abd/Add,NOT_C7,IJ_C7,7,4106,41.06,170.89,4363,43.63,-11.29,182.18,3885.0,38.85,166.82,4177.0,41.77,-7.17,174.0
Shoulder Abd/Add,NOT_C7,PX_C7,1,1006,10.06,172.48,1344,13.44,-8.54,181.03,938.0,9.38,170.69,1244.0,12.44,-12.32,183.01
Shoulder Abd/Add,NOT_C7,PX_C7,2,1604,16.04,172.11,1938,19.38,-8.02,180.13,1468.0,14.68,169.45,1744.0,17.44,0.75,168.7
Shoulder Abd/Add,NOT_C7,PX_C7,3,2172,21.72,171.15,2455,24.55,-13.36,184.51,1948.0,19.48,168.48,2243.0,22.43,-7.96,176.44
Shoulder Abd/Add,NOT_C7,PX_C7,4,2654,26.54,171.35,2919,29.19,-12.81,184.16,2449.0,24.49,171.03,2702.0,27.02,-10.94,181.97
Shoulder Abd/Add,NOT_C7,PX_C7,5,3135,31.35,169.77,3407,34.07,-16.33,186.09,2914.0,29.14,169.66,3192.0,31.92,-9.26,178.92
Shoulder Abd/Add,NOT_C7,PX_C7,6,3628,36.28,172.93,3893,38.93,-15.14,188.08,3398.0,33.98,167.77,3682.0,36.82,-10.83,178.6
Shoulder Abd/Add,NOT_C7,PX_C7,7,4106,41.06,170.99,4363,43.63,-11.34,182.33,3885.0,38.85,166.91,4177.0,41.77,-7.22,174.13
Shoulder Abd/Add,NOT_C7,IJ_PX_C7,1,1006,10.06,172.45,1344,13.44,-8.52,180.97,938.0,9.38,170.65,1244.0,12.44,-12.3,182.95
